scenario_id,evidence_id,evidence_role,source_dataset,record_id,date,market,product_code,customer_code,metric_name,metric_value,baseline_value,change_value,change_percent,evidence_text,evidence_strength,direction,is_contradictory,calculation_formula
S007,EVID-2f87d664,OUTCOME,fact_sales_monthly.csv,,2019-09,Portugal,,,category_share,11.541221276288443,25.689291654871894,-14.148070378583451,,Category share shifted from 25.69% to 11.54%. Absolute sales increased.,STRONG,decrease,False,category_gross / total_gross * 100
S007,EVID-a75ce75b,SUPPORTING,fact_support_tickets.csv,TKT000980,2019-09-01,Portugal,A0721150404,90017049.0,unstructured_text,,,,,We need clarification about the product quality and warranty.,WEAK,,False,
S007,EVID-ebc8c60c,SUPPORTING,fact_support_tickets.csv,TKT002581,2019-09-01,Portugal,A0821150501,90017056.0,unstructured_text,,,,,We need clarification about the product quality and warranty.,WEAK,,False,
S007,EVID-e95b5ad1,SUPPORTING,fact_support_tickets.csv,TKT003900,2019-09-01,Portugal,A0519150208,70017060.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S007,EVID-6646c631,SUPPORTING,fact_support_tickets.csv,TKT004261,2019-09-01,Portugal,A2520150504,90017054.0,unstructured_text,,,,,The product is performing well and we are considering another order.,WEAK,,False,
S007,EVID-210af570,SUPPORTING,fact_support_tickets.csv,TKT004547,2019-09-01,Portugal,A7119160103,90017053.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S007,EVID-3a25c4ed,SUPPORTING,fact_support_tickets.csv,TKT004811,2019-09-01,Portugal,A0418150107,90017051.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S007,EVID-e600699c,SUPPORTING,fact_crm_notes.csv,CRM000148,2019-09-01,Portugal,A3920150301,90017059.0,unstructured_text,,,,,Customer requested a better commercial offer before renewing the purchase.,WEAK,,False,
S007,EVID-74ce4792,SUPPORTING,fact_crm_notes.csv,CRM000192,2019-09-01,Portugal,A0921150601,90017059.0,unstructured_text,,,,,Customer asked for more information about the premium variant.,WEAK,,False,
S007,EVID-da410757,SUPPORTING,fact_crm_notes.csv,CRM000204,2019-09-01,Portugal,A2821150801,70017060.0,unstructured_text,,,,,Customer mentioned a competitor's promotional pricing.,WEAK,,False,
S007,EVID-f3f9336e,SUPPORTING,fact_crm_notes.csv,CRM001057,2019-09-01,Portugal,A0418150107,90017059.0,unstructured_text,,,,,Customer asked for more information about the premium variant.,WEAK,,False,
S007,EVID-ff38af64,SUPPORTING,fact_crm_notes.csv,CRM001888,2019-09-01,Portugal,A3819150203,90017057.0,unstructured_text,,,,,Customer mentioned a competitor's promotional pricing.,WEAK,,False,
S007,EVID-b52894e0,SUPPORTING,fact_crm_notes.csv,CRM002059,2019-09-01,Portugal,A1919150403,90017049.0,unstructured_text,,,,,Customer is satisfied with the product and is considering expanding the order.,WEAK,,False,
S007,EVID-538c6a4b,SUPPORTING,fact_crm_notes.csv,CRM002968,2019-09-01,Portugal,A4419110401,90017059.0,unstructured_text,,,,,Customer requested a better commercial offer before renewing the purchase.,WEAK,,False,
S007,EVID-f3232cbf,SUPPORTING,fact_sales_calls.csv,CALL001091,2019-09-01,Portugal,A4118110105,70017060.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S007,EVID-1e384ae3,SUPPORTING,fact_sales_calls.csv,CALL001117,2019-09-01,Portugal,A0118150102,90017053.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S007,EVID-82bb9224,SUPPORTING,fact_sales_calls.csv,CALL002608,2019-09-01,Portugal,A3019150205,90017054.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S007,EVID-b3437681,SUPPORTING,fact_sales_calls.csv,CALL002785,2019-09-01,Portugal,A6918160303,70017060.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
