scenario_id,evidence_id,evidence_role,source_dataset,record_id,date,market,product_code,customer_code,metric_name,metric_value,baseline_value,change_value,change_percent,evidence_text,evidence_strength,direction,is_contradictory,calculation_formula
S002,EVID-7325cccb,OUTCOME,fact_sales_monthly.csv,,2021-01,South Korea,,,gross_sales,1671637.1700000002,5306361.43,-3634724.26,-68.49748755240745,Gross sales changed by -68.50% from 5306361.43 to 1671637.1700000002.,STRONG,decrease,False,(current - previous)/previous * 100
S002,EVID-66b78e81,SUPPORTING,fact_sales_monthly.csv,,2021-01,South Korea,,,ecommerce_gross_sales,735505.59,603472.7,132032.89,21.878850526295558,E-Commerce sales grew 21.88% while Brick & Mortar collapsed.,STRONG,increase,False,(cur_ec - prev_ec)/prev_ec * 100
S002,EVID-e7f49d1c,SUPPORTING,fact_support_tickets.csv,TKT000964,2021-01-01,South Korea,A5620110402,80007195.0,unstructured_text,,,,,The product is performing well and we are considering another order.,WEAK,,False,
S002,EVID-c6919868,SUPPORTING,fact_support_tickets.csv,TKT001777,2021-01-01,South Korea,A6818160201,80007195.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S002,EVID-d003b8c3,SUPPORTING,fact_support_tickets.csv,TKT001883,2021-01-01,South Korea,A4419110402,80007196.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S002,EVID-95abf0e1,SUPPORTING,fact_support_tickets.csv,TKT002617,2021-01-01,South Korea,A3421150606,80007196.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S002,EVID-50188e73,SUPPORTING,fact_support_tickets.csv,TKT003525,2021-01-01,South Korea,A4821110808,70007199.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S002,EVID-2f3120d5,SUPPORTING,fact_support_tickets.csv,TKT004272,2021-01-01,South Korea,A5520110307,80007196.0,unstructured_text,,,,,We need clarification about the product quality and warranty.,WEAK,,False,
S002,EVID-27f82711,SUPPORTING,fact_crm_notes.csv,CRM000014,2021-01-01,South Korea,A5419110205,80007196.0,unstructured_text,,,,,Customer asked for more information about the premium variant.,WEAK,,False,
S002,EVID-e77e1d34,SUPPORTING,fact_crm_notes.csv,CRM001239,2021-01-01,South Korea,A5419110203,80007195.0,unstructured_text,,,,,Customer raised concerns about product availability and delayed delivery.,WEAK,,False,
S002,EVID-ce48d0f1,SUPPORTING,fact_crm_notes.csv,CRM001292,2021-01-01,South Korea,A2219150206,70007199.0,unstructured_text,,,,,Customer raised concerns about product availability and delayed delivery.,WEAK,,False,
S002,EVID-0f6df11d,SUPPORTING,fact_crm_notes.csv,CRM001754,2021-01-01,South Korea,A1219150301,70007198.0,unstructured_text,,,,,Customer mentioned a competitor's promotional pricing.,WEAK,,False,
S002,EVID-44da5e5b,SUPPORTING,fact_crm_notes.csv,CRM001770,2021-01-01,South Korea,A5519110304,70007198.0,unstructured_text,,,,,Customer mentioned a competitor's promotional pricing.,WEAK,,False,
S002,EVID-20c2f9db,SUPPORTING,fact_crm_notes.csv,CRM002258,2021-01-01,South Korea,A5318110102,70007198.0,unstructured_text,,,,,Customer raised concerns about product availability and delayed delivery.,WEAK,,False,
S002,EVID-886d8691,SUPPORTING,fact_sales_calls.csv,CALL002441,2021-01-01,South Korea,A2520150504,90007197.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S002,EVID-78945ac7,SUPPORTING,fact_sales_calls.csv,CALL002582,2021-01-01,South Korea,A2118150101,70007198.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
