scenario_id,evidence_id,evidence_role,source_dataset,record_id,date,market,product_code,customer_code,metric_name,metric_value,baseline_value,change_value,change_percent,evidence_text,evidence_strength,direction,is_contradictory,calculation_formula
S006,EVID-a7e3130a,OUTCOME,fact_sales_monthly.csv,,2020-03,India,,,gross_sales,82550.33,689296.4600000001,-606746.1300000001,-88.02397302316047,Gross sales changed by -88.02% from 689296.4600000001 to 82550.33.,STRONG,decrease,False,(current - previous)/previous * 100
S006,EVID-d4787550,SUPPORTING,fact_support_tickets.csv,TKT000286,2020-03-01,India,A3421150605,90002012.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S006,EVID-78213586,SUPPORTING,fact_support_tickets.csv,TKT001797,2020-03-01,India,A0519150208,90002007.0,unstructured_text,,,,,The product is performing well and we are considering another order.,WEAK,,False,
S006,EVID-e7d6ccf8,SUPPORTING,fact_support_tickets.csv,TKT002314,2020-03-01,India,A3120150304,90002009.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S006,EVID-065b0b0c,SUPPORTING,fact_support_tickets.csv,TKT002362,2020-03-01,India,A2520150502,90002005.0,unstructured_text,,,,,We need clarification about the product quality and warranty.,WEAK,,False,
S006,EVID-db1366ec,SUPPORTING,fact_support_tickets.csv,TKT003424,2020-03-01,India,A6219160103,90002012.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S006,EVID-d01d4c3a,SUPPORTING,fact_support_tickets.csv,TKT004989,2020-03-01,India,A2118150105,90002015.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S006,EVID-338b795b,SUPPORTING,fact_crm_notes.csv,CRM000308,2020-03-01,India,A0118150104,90002016.0,unstructured_text,,,,,Customer asked for more information about the premium variant.,WEAK,,False,
S006,EVID-4dfb73ec,SUPPORTING,fact_crm_notes.csv,CRM000601,2020-03-01,India,A6919160302,90002012.0,unstructured_text,,,,,Customer raised concerns about product availability and delayed delivery.,WEAK,,False,
S006,EVID-7a1eb804,SUPPORTING,fact_crm_notes.csv,CRM001681,2020-03-01,India,A4319110305,90002003.0,unstructured_text,,,,,Customer requested a better commercial offer before renewing the purchase.,WEAK,,False,
S006,EVID-3a7d9bd4,SUPPORTING,fact_crm_notes.csv,CRM001941,2020-03-01,India,A3621150805,90002003.0,unstructured_text,,,,,Customer is considering a competitor because our price is higher.,WEAK,,False,
S006,EVID-5dee7483,SUPPORTING,fact_crm_notes.csv,CRM001953,2020-03-01,India,A4319110306,90002005.0,unstructured_text,,,,,Customer is satisfied with the product and is considering expanding the order.,WEAK,,False,
S006,EVID-3e106327,SUPPORTING,fact_crm_notes.csv,CRM001975,2020-03-01,India,A0921150603,90002012.0,unstructured_text,,,,,Customer is satisfied with the product and is considering expanding the order.,WEAK,,False,
S006,EVID-7a36796c,SUPPORTING,fact_crm_notes.csv,CRM003277,2020-03-01,India,A2419150405,90002012.0,unstructured_text,,,,,Customer raised concerns about product availability and delayed delivery.,WEAK,,False,
S006,EVID-9b5aa98a,SUPPORTING,fact_sales_calls.csv,CALL000740,2020-03-01,India,A4821110802,90002007.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S006,EVID-fe5a3ac7,SUPPORTING,fact_sales_calls.csv,CALL001063,2020-03-01,India,A3019150205,90002010.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S006,EVID-3de66a5e,SUPPORTING,fact_sales_calls.csv,CALL001573,2020-03-01,India,A4620110607,90002014.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S006,EVID-8e421538,SUPPORTING,fact_sales_calls.csv,CALL002295,2020-03-01,India,A6319160203,90002012.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S006,EVID-53fca9cb,SUPPORTING,fact_sales_calls.csv,CALL002422,2020-03-01,India,A6018110103,90002006.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S006,EVID-d0ec9c72,SUPPORTING,fact_sales_calls.csv,CALL002579,2020-03-01,India,A0418150105,90002009.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S006,EVID-ff85a4d3,SUPPORTING,fact_sales_calls.csv,CALL002668,2020-03-01,India,A6120110207,90002009.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
