date,market,customer_code,product_code,channel,gross_sales_amount,return_sales_amount,signed_sales_amount
2020-02-01,India,90002008,A1320150402,Retailer,0.0,9665.13,-9665.13
2020-02-01,India,90002016,A1320150402,Retailer,5121.87,0.0,5121.87
2020-02-01,India,90002008,A1018150102,Retailer,6991.22,0.0,6991.22
2020-02-01,India,90002016,A1018150102,Retailer,3871.22,0.0,3871.22
2020-02-01,India,90002008,A1219150302,Retailer,11587.39,0.0,11587.39
2020-02-01,India,90002016,A1219150302,Retailer,4966.33,0.0,4966.33
2020-02-01,India,90002008,A1118150202,Retailer,0.0,1933.82,-1933.82
2020-02-01,India,90002016,A1118150202,Retailer,0.0,718.73,-718.73
2020-02-01,India,90002008,A1018150103,Retailer,9473.23,0.0,9473.23
2020-02-01,India,90002016,A1018150103,Retailer,3474.87,0.0,3474.87
2020-02-01,India,90002008,A1320150403,Retailer,3769.6,0.0,3769.6
2020-02-01,India,90002016,A1320150403,Retailer,4235.55,0.0,4235.55
2020-02-01,India,90002008,A1219150303,Retailer,0.0,6423.08,-6423.08
2020-02-01,India,90002016,A1219150303,Retailer,6355.63,0.0,6355.63
2020-02-01,India,90002008,A1119150203,Retailer,10721.36,0.0,10721.36
2020-02-01,India,90002016,A1119150203,Retailer,5605.44,0.0,5605.44
2020-02-01,India,90002008,A1319150401,Retailer,7014.71,0.0,7014.71
2020-02-01,India,90002016,A1319150401,Retailer,0.0,5368.38,-5368.38
2020-02-01,India,90002008,A1420150501,Retailer,9293.28,0.0,9293.28
2020-02-01,India,90002016,A1420150501,Retailer,4131.74,0.0,4131.74
2020-02-01,India,90002008,A1018150101,Retailer,9485.39,0.0,9485.39
2020-02-01,India,90002016,A1018150101,Retailer,4857.47,0.0,4857.47
2020-02-01,India,90002008,A1219150301,Retailer,1626.25,0.0,1626.25
2020-02-01,India,90002016,A1219150301,Retailer,1509.46,0.0,1509.46
2020-02-01,India,90002008,A1118150201,Retailer,9779.62,0.0,9779.62
2020-02-01,India,90002016,A1118150201,Retailer,6594.04,0.0,6594.04
2020-02-01,India,90002001,A1320150402,Retailer,7888.38,0.0,7888.38
2020-02-01,India,90002002,A1320150402,Retailer,5000.49,0.0,5000.49
2020-02-01,India,90002004,A1320150402,Retailer,2800.13,0.0,2800.13
2020-02-01,India,90002005,A1320150402,Retailer,4225.39,0.0,4225.39
2020-02-01,India,90002006,A1320150402,Retailer,6460.37,0.0,6460.37
2020-02-01,India,90002012,A1320150402,Retailer,0.0,4166.28,-4166.28
2020-02-01,India,90002013,A1320150402,Retailer,8236.89,0.0,8236.89
2020-02-01,India,90002014,A1320150402,Retailer,0.0,1350.43,-1350.43
2020-02-01,India,90002009,A1320150402,Retailer,2862.93,0.0,2862.93
2020-02-01,India,90002010,A1320150402,Retailer,6697.68,0.0,6697.68
2020-02-01,India,90002001,A1018150102,Retailer,3251.6,0.0,3251.6
2020-02-01,India,90002002,A1018150102,Retailer,0.0,2397.44,-2397.44
