date,market,customer_code,product_code,channel,gross_sales_amount,return_sales_amount,signed_sales_amount
2019-08-01,Portugal,90017059,A7119160103,Retailer,104.35,0.0,104.35
2019-08-01,Portugal,90017059,A7119160102,Retailer,560.18,0.0,560.18
2019-08-01,Portugal,90017059,A7118160101,Retailer,501.6,0.0,501.6
2019-08-01,Portugal,90017059,A7219160201,Retailer,116.49,0.0,116.49
2019-08-01,Portugal,90017050,A7119160103,Retailer,470.3,0.0,470.3
2019-08-01,Portugal,90017051,A7119160103,Retailer,212.9,0.0,212.9
2019-08-01,Portugal,90017054,A7119160103,Retailer,516.77,0.0,516.77
2019-08-01,Portugal,90017055,A7119160103,Retailer,412.36,0.0,412.36
2019-08-01,Portugal,90017056,A7119160103,Retailer,619.97,0.0,619.97
2019-08-01,Portugal,90017050,A7119160102,Retailer,334.44,0.0,334.44
2019-08-01,Portugal,90017051,A7119160102,Retailer,180.65,0.0,180.65
2019-08-01,Portugal,90017054,A7119160102,Retailer,447.36,0.0,447.36
2019-08-01,Portugal,90017055,A7119160102,Retailer,0.0,604.3,-604.3
2019-08-01,Portugal,90017056,A7119160102,Retailer,471.45,0.0,471.45
2019-08-01,Portugal,90017050,A7118160101,Retailer,638.37,0.0,638.37
2019-08-01,Portugal,90017051,A7118160101,Retailer,498.75,0.0,498.75
2019-08-01,Portugal,90017054,A7118160101,Retailer,599.14,0.0,599.14
2019-08-01,Portugal,90017055,A7118160101,Retailer,346.15,0.0,346.15
2019-08-01,Portugal,90017056,A7118160101,Retailer,410.63,0.0,410.63
2019-08-01,Portugal,90017050,A7219160201,Retailer,323.77,0.0,323.77
2019-08-01,Portugal,90017051,A7219160201,Retailer,652.61,0.0,652.61
2019-08-01,Portugal,90017054,A7219160201,Retailer,392.2,0.0,392.2
2019-08-01,Portugal,90017055,A7219160201,Retailer,143.05,0.0,143.05
2019-08-01,Portugal,90017056,A7219160201,Retailer,712.46,0.0,712.46
2019-08-01,Portugal,70017060,A7119160103,Direct,507.84,0.0,507.84
2019-08-01,Portugal,70017060,A7119160102,Direct,121.12,0.0,121.12
2019-08-01,Portugal,70017060,A7118160101,Direct,395.55,0.0,395.55
2019-08-01,Portugal,70017060,A7219160201,Direct,0.0,143.01,-143.01
2019-09-01,Portugal,90017059,A7119160103,Retailer,1370.18,0.0,1370.18
2019-09-01,Portugal,90017059,A7119160102,Retailer,721.67,0.0,721.67
2019-09-01,Portugal,90017059,A7118160101,Retailer,1165.34,0.0,1165.34
2019-09-01,Portugal,90017059,A7220160202,Retailer,0.0,1064.91,-1064.91
2019-09-01,Portugal,90017059,A7220160203,Retailer,0.0,1811.54,-1811.54
2019-09-01,Portugal,90017059,A7219160201,Retailer,199.41,0.0,199.41
2019-09-01,Portugal,90017049,A7119160103,Retailer,820.08,0.0,820.08
