date,market,customer_code,product_code,channel,gross_sales_amount,return_sales_amount,signed_sales_amount
2020-02-01,Germany,90012041,A2918150104,Retailer,154.04,0.0,154.04
2020-02-01,Germany,90012041,A2918150101,Retailer,117.15,0.0,117.15
2020-02-01,Germany,90012041,A2918150102,Retailer,412.31,0.0,412.31
2020-02-01,Germany,90012041,A3220150405,Retailer,286.17,0.0,286.17
2020-02-01,Germany,90012041,A3220150406,Retailer,421.82,0.0,421.82
2020-02-01,Germany,90012041,A3220150404,Retailer,910.09,0.0,910.09
2020-02-01,Germany,90012041,A3220150402,Retailer,900.28,0.0,900.28
2020-02-01,Germany,90012041,A3220150401,Retailer,636.79,0.0,636.79
2020-02-01,Germany,90012041,A3320150504,Retailer,682.96,0.0,682.96
2020-02-01,Germany,90012041,A3320150502,Retailer,0.0,318.23,-318.23
2020-02-01,Germany,90012041,A3320150501,Retailer,242.2,0.0,242.2
2020-02-01,Germany,90012041,A2419150404,Retailer,467.16,0.0,467.16
2020-02-01,Germany,90012041,A2419150405,Retailer,85.04,0.0,85.04
2020-02-01,Germany,90012041,A2419150401,Retailer,0.0,147.5,-147.5
2020-02-01,Germany,90012041,A2420150406,Retailer,566.52,0.0,566.52
2020-02-01,Germany,90012041,A2419150402,Retailer,744.53,0.0,744.53
2020-02-01,Germany,90012041,A2319150301,Retailer,163.36,0.0,163.36
2020-02-01,Germany,90012041,A2319150304,Retailer,168.39,0.0,168.39
2020-02-01,Germany,90012041,A2319150305,Retailer,276.47,0.0,276.47
2020-02-01,Germany,90012041,A2319150306,Retailer,406.16,0.0,406.16
2020-02-01,Germany,90012041,A2319150302,Retailer,495.68,0.0,495.68
2020-02-01,Germany,90012041,A2118150105,Retailer,62.37,0.0,62.37
2020-02-01,Germany,90012041,A2118150104,Retailer,69.97,0.0,69.97
2020-02-01,Germany,90012041,A2118150101,Retailer,181.22,0.0,181.22
2020-02-01,Germany,90012041,A2118150102,Retailer,184.32,0.0,184.32
2020-02-01,Germany,90012041,A2118150106,Retailer,183.04,0.0,183.04
2020-02-01,Germany,90012041,A2218150201,Retailer,208.17,0.0,208.17
2020-02-01,Germany,90012041,A3019150205,Retailer,413.88,0.0,413.88
2020-02-01,Germany,90012041,A3018150201,Retailer,476.14,0.0,476.14
2020-02-01,Germany,90012041,A3019150204,Retailer,536.4,0.0,536.4
2020-02-01,Germany,90012041,A3019150206,Retailer,389.85,0.0,389.85
2020-02-01,Germany,90012041,A3018150202,Retailer,518.71,0.0,518.71
2020-02-01,Germany,90012041,A3120150305,Retailer,0.0,467.97,-467.97
2020-02-01,Germany,90012041,A3120150306,Retailer,162.97,0.0,162.97
2020-02-01,Germany,90012041,A3119150302,Retailer,230.37,0.0,230.37
2020-02-01,Germany,90012041,A3119150301,Retailer,476.53,0.0,476.53
2020-02-01,Germany,90012041,A3120150304,Retailer,542.83,0.0,542.83
2020-02-01,Germany,90012041,A2918150105,Retailer,284.37,0.0,284.37
2020-02-01,Germany,90012041,A2918150106,Retailer,397.5,0.0,397.5
2020-02-01,Germany,90012041,A2218150202,Retailer,325.22,0.0,325.22
2020-02-01,Germany,90012041,A2219150204,Retailer,0.0,342.29,-342.29
2020-02-01,Germany,90012041,A2219150205,Retailer,407.4,0.0,407.4
