date,market,customer_code,product_code,channel,gross_sales_amount,return_sales_amount,signed_sales_amount
2020-12-01,South Korea,80007195,A2620150606,Distributor,16996.98,0.0,16996.98
2020-12-01,South Korea,80007196,A4419110401,Distributor,12690.02,0.0,12690.02
2020-12-01,South Korea,80007196,A4419110402,Distributor,9757.21,0.0,9757.21
2020-12-01,South Korea,80007196,A4419110404,Distributor,0.0,4864.46,-4864.46
2020-12-01,South Korea,80007196,A4419110405,Distributor,6711.51,0.0,6711.51
2020-12-01,South Korea,80007196,A4419110406,Distributor,0.0,7400.21,-7400.21
2020-12-01,South Korea,80007196,A4419110407,Distributor,16889.44,0.0,16889.44
2020-12-01,South Korea,80007196,A4419110408,Distributor,13252.38,0.0,13252.38
2020-12-01,South Korea,80007196,A4118110105,Distributor,4978.29,0.0,4978.29
2020-12-01,South Korea,80007196,A4118110106,Distributor,3002.42,0.0,3002.42
2020-12-01,South Korea,80007196,A4118110107,Distributor,2086.86,0.0,2086.86
2020-12-01,South Korea,80007196,A4318110301,Distributor,0.0,11839.55,-11839.55
2020-12-01,South Korea,80007196,A4319110302,Distributor,0.0,5683.22,-5683.22
2020-12-01,South Korea,80007196,A4319110304,Distributor,13107.08,0.0,13107.08
2020-12-01,South Korea,80007196,A4319110305,Distributor,11347.14,0.0,11347.14
2020-12-01,South Korea,80007196,A4319110306,Distributor,13846.1,0.0,13846.1
2020-12-01,South Korea,80007196,A4519110501,Distributor,0.0,9511.67,-9511.67
2020-12-01,South Korea,80007196,A4519110502,Distributor,8661.52,0.0,8661.52
2020-12-01,South Korea,80007196,A4520110504,Distributor,0.0,18246.46,-18246.46
2020-12-01,South Korea,80007196,A4520110505,Distributor,4102.73,0.0,4102.73
2020-12-01,South Korea,80007196,A4520110506,Distributor,15703.75,0.0,15703.75
2020-12-01,South Korea,80007196,A4520110507,Distributor,15764.66,0.0,15764.66
2020-12-01,South Korea,80007196,A4520110508,Distributor,12752.66,0.0,12752.66
2020-12-01,South Korea,80007196,A4620110601,Distributor,7221.2,0.0,7221.2
2020-12-01,South Korea,80007196,A4620110602,Distributor,17470.43,0.0,17470.43
2020-12-01,South Korea,80007196,A4620110604,Distributor,13321.13,0.0,13321.13
